day,month,year,category,number of vehicles,number of sites
26,2,2020,4,102,1
26,2,2020,5,466,1
26,2,2020,6,1782,1
26,2,2020,7,95,1
22,2,2020,1,35,1
22,2,2020,2,13059,1
22,2,2020,3,812,1
22,2,2020,4,115,1
22,2,2020,5,166,1
22,2,2020,6,621,1
22,2,2020,7,90,1
24,2,2020,1,25,1
24,2,2020,2,14313,1
24,2,2020,3,1567,1
24,2,2020,4,85,1
24,2,2020,5,401,1
24,2,2020,6,1698,1
24,2,2020,7,110,1
21,2,2020,1,28,1
21,2,2020,2,18306,1
21,2,2020,3,1724,1
21,2,2020,4,101,1
21,2,2020,5,491,1
21,2,2020,6,1692,1
21,2,2020,7,110,1
20,2,2020,1,25,1
20,2,2020,2,16938,1
20,2,2020,3,1700,1
20,2,2020,4,102,1
20,2,2020,5,446,1
20,2,2020,6,1801,1
20,2,2020,7,103,1
25,2,2020,1,17,1
25,2,2020,2,14208,1
25,2,2020,3,1564,1
25,2,2020,4,102,1
25,2,2020,5,422,1
25,2,2020,6,1757,1
25,2,2020,7,97,1
19,2,2020,1,30,1
19,2,2020,2,16073,1
19,2,2020,3,1734,1
19,2,2020,4,96,1
19,2,2020,5,454,1
19,2,2020,6,1922,1
19,2,2020,7,93,1
23,2,2020,1,18,1
23,2,2020,2,14921,1
23,2,2020,3,753,1
23,2,2020,4,110,1
23,2,2020,5,110,1
23,2,2020,6,325,1
23,2,2020,7,59,1
18,2,2020,1,20,1
18,2,2020,2,15255,1
18,2,2020,3,1616,1
18,2,2020,4,94,1
18,2,2020,5,470,1
18,2,2020,6,1794,1
18,2,2020,7,90,1
17,2,2020,1,26,1
17,2,2020,2,15035,1
17,2,2020,3,1607,1
17,2,2020,4,83,1
17,2,2020,5,430,1
17,2,2020,6,1729,1
17,2,2020,7,95,1
16,2,2020,1,14,1
16,2,2020,2,12282,1
16,2,2020,3,594,1
16,2,2020,4,110,1
16,2,2020,5,89,1
16,2,2020,6,301,1
16,2,2020,7,52,1
15,2,2020,1,4,1
15,2,2020,2,10616,1
15,2,2020,3,717,1
15,2,2020,4,109,1
15,2,2020,5,147,1
15,2,2020,6,633,1
15,2,2020,7,78,1
31,3,2020,1,9,1
31,3,2020,2,2683,1
31,3,2020,3,689,1
31,3,2020,4,19,1
31,3,2020,5,258,1
31,3,2020,6,1509,1
31,3,2020,7,51,1
30,3,2020,1,10,1
30,3,2020,2,3088,1
30,3,2020,3,712,1
30,3,2020,4,23,1
30,3,2020,5,237,1
30,3,2020,6,1570,1
30,3,2020,7,56,1
29,3,2020,1,1,1
29,3,2020,2,1514,1
29,3,2020,3,134,1
29,3,2020,4,15,1
29,3,2020,5,36,1
29,3,2020,6,366,1
29,3,2020,7,20,1
28,3,2020,1,6,1
28,3,2020,2,2412,1
28,3,2020,3,291,1
28,3,2020,4,19,1
28,3,2020,5,71,1
28,3,2020,6,703,1
28,3,2020,7,47,1
22,3,2020,1,31,1
22,3,2020,2,4877,1
22,3,2020,3,358,1
22,3,2020,4,52,1
22,3,2020,5,53,1
22,3,2020,6,425,1
22,3,2020,7,40,1
27,3,2020,1,20,1
27,3,2020,2,6786,1
27,3,2020,3,1282,1
27,3,2020,4,19,1
27,3,2020,5,421,1
27,3,2020,6,1785,1
27,3,2020,7,102,1
26,3,2020,1,16,1
26,3,2020,2,5750,1
26,3,2020,3,1279,1
26,3,2020,4,19,1
26,3,2020,5,397,1
26,3,2020,6,1914,1
26,3,2020,7,116,1
25,3,2020,1,14,1
25,3,2020,2,5543,1
25,3,2020,3,1233,1
25,3,2020,4,28,1
25,3,2020,5,405,1
25,3,2020,6,1933,1
25,3,2020,7,111,1
24,3,2020,1,9,1
24,3,2020,2,6020,1
24,3,2020,3,1273,1
24,3,2020,4,28,1
24,3,2020,5,356,1
24,3,2020,6,1832,1
24,3,2020,7,113,1
23,3,2020,1,22,1
23,3,2020,2,6330,1
23,3,2020,3,1248,1
23,3,2020,4,58,1
23,3,2020,5,409,1
23,3,2020,6,1765,1
23,3,2020,7,94,1
18,3,2020,1,18,1
18,3,2020,2,7484,1
18,3,2020,3,1307,1
18,3,2020,4,63,1
18,3,2020,5,402,1
18,3,2020,6,1858,1
18,3,2020,7,98,1
20,3,2020,1,19,1
20,3,2020,2,7487,1
20,3,2020,3,1363,1
20,3,2020,4,72,1
20,3,2020,5,439,1
20,3,2020,6,1857,1
20,3,2020,7,104,1
19,3,2020,1,22,1
19,3,2020,2,7086,1
19,3,2020,3,1308,1
19,3,2020,4,58,1
19,3,2020,5,456,1
19,3,2020,6,1993,1
19,3,2020,7,86,1
17,3,2020,1,16,1
17,3,2020,2,4959,1
17,3,2020,3,463,1
17,3,2020,4,62,1
17,3,2020,5,95,1
17,3,2020,6,877,1
