day,month,year,category,number of vehicles,number of sites,,19718.82095
9,2,2020,4,19827,342,,
9,2,2020,5,26831,342,,
9,2,2020,6,39554,342,,
9,2,2020,7,5184,342,,
10,2,2020,0,335,342,,
10,2,2020,1,11199,342,,
10,2,2020,2,3210817,342,,
10,2,2020,3,476161,342,,
10,2,2020,4,27729,342,,
10,2,2020,5,116220,342,,
10,2,2020,6,189804,342,,
10,2,2020,7,15728,342,,
11,2,2020,0,321,342,,
11,2,2020,1,11747,342,,
11,2,2020,2,3427783,342,,
11,2,2020,3,527145,342,,
11,2,2020,4,29990,342,,
11,2,2020,5,141142,342,,
11,2,2020,6,217242,342,,
11,2,2020,7,18096,342,,
12,2,2020,0,377,342,,
12,2,2020,1,12264,342,,
12,2,2020,2,3538656,342,,
12,2,2020,3,529562,342,,
12,2,2020,4,31284,342,,
12,2,2020,5,135527,342,,
12,2,2020,6,209737,342,,
12,2,2020,7,18207,342,,
13,2,2020,0,707,342,,
13,2,2020,1,12634,342,,
13,2,2020,2,3443871,342,,
13,2,2020,3,516289,342,,
13,2,2020,4,30410,342,,
13,2,2020,5,131528,342,,
13,2,2020,6,210908,342,,
13,2,2020,7,18966,342,,
14,2,2020,0,546,343,,
14,2,2020,1,10686,343,,
14,2,2020,2,2850005,343,,
14,2,2020,3,435092,343,,
14,2,2020,4,24347,343,,
14,2,2020,5,112385,343,,
14,2,2020,6,177022,343,,
14,2,2020,7,16167,343,,
